epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9241,2.00049,1.9237,2.04383,0.94091,0.62751,0.79088,0.53145,1.42321,1.36633,1.64465,0.000661333,0.000661333,0.000661333
2,41.1863,1.51396,1.16824,1.59132,0.90953,0.84461,0.90278,0.60709,1.32012,0.91154,1.49681,0.00130171,0.00130171,0.00130171
3,59.1296,1.41545,1.01531,1.50121,0.91135,0.87138,0.91964,0.62396,1.25547,0.78491,1.43193,0.00191568,0.00191568,0.00191568
4,77.0149,1.38107,0.94435,1.46835,0.9291,0.83792,0.89988,0.63883,1.23012,0.7175,1.39604,0.0018812,0.0018812,0.0018812
5,95.1512,1.35503,0.88896,1.43513,0.9475,0.84535,0.91211,0.63658,1.28473,0.68973,1.40511,0.0018416,0.0018416,0.0018416
6,113.306,1.3272,0.8511,1.41029,0.94853,0.8632,0.92259,0.66644,1.18439,0.62856,1.33388,0.001802,0.001802,0.001802
7,132.021,1.29388,0.81336,1.3824,0.93333,0.87435,0.9252,0.66218,1.19151,0.62359,1.35158,0.0017624,0.0017624,0.0017624
8,150.359,1.29301,0.79775,1.37331,0.95802,0.86543,0.92503,0.68512,1.13812,0.60136,1.30926,0.0017228,0.0017228,0.0017228
9,169.063,1.2805,0.77565,1.36448,0.94926,0.90409,0.94466,0.68569,1.14678,0.57887,1.31586,0.0016832,0.0016832,0.0016832
10,187.813,1.26741,0.76402,1.35809,0.94622,0.9026,0.9423,0.68608,1.13265,0.55836,1.294,0.0016436,0.0016436,0.0016436
11,206.392,1.25694,0.75769,1.35309,0.95301,0.90483,0.9429,0.68524,1.14247,0.55403,1.29847,0.001604,0.001604,0.001604
12,224.945,1.24306,0.74203,1.34243,0.9483,0.91375,0.94891,0.70978,1.08932,0.5462,1.26356,0.0015644,0.0015644,0.0015644
13,243.851,1.23871,0.73617,1.32719,0.95455,0.92119,0.95366,0.70808,1.09367,0.53436,1.2628,0.0015248,0.0015248,0.0015248
14,262.356,1.23471,0.72852,1.33862,0.96223,0.90929,0.94927,0.70549,1.11857,0.51934,1.28223,0.0014852,0.0014852,0.0014852
15,280.866,1.20799,0.70787,1.31812,0.93313,0.92342,0.95139,0.70643,1.11145,0.53753,1.28455,0.0014456,0.0014456,0.0014456
16,299.352,1.20888,0.70455,1.31118,0.95469,0.92416,0.95597,0.7066,1.09086,0.51302,1.26252,0.001406,0.001406,0.001406
17,317.953,1.19875,0.69718,1.30778,0.95314,0.93755,0.96244,0.72043,1.08478,0.49999,1.26623,0.0013664,0.0013664,0.0013664
18,336.639,1.18939,0.67667,1.29412,0.94729,0.94275,0.9666,0.72602,1.04987,0.49827,1.23421,0.0013268,0.0013268,0.0013268
19,355.179,1.18112,0.67528,1.29416,0.97043,0.92714,0.95898,0.72367,1.0664,0.47885,1.23581,0.0012872,0.0012872,0.0012872
20,373.77,1.18086,0.66753,1.28536,0.95551,0.94201,0.96565,0.72413,1.06727,0.49345,1.24259,0.0012476,0.0012476,0.0012476
21,392.421,1.17595,0.66471,1.28126,0.9661,0.93234,0.96256,0.72621,1.07325,0.47903,1.23097,0.001208,0.001208,0.001208
22,410.917,1.16586,0.65571,1.27872,0.9594,0.9487,0.96966,0.72742,1.06801,0.4709,1.22788,0.0011684,0.0011684,0.0011684
23,429.541,1.16917,0.65561,1.27763,0.96885,0.92491,0.95768,0.72347,1.05429,0.47579,1.22762,0.0011288,0.0011288,0.0011288
24,448.052,1.15798,0.65382,1.26658,0.96328,0.91673,0.95291,0.72718,1.05245,0.47157,1.22593,0.0010892,0.0010892,0.0010892
25,466.396,1.15302,0.6341,1.26383,0.95617,0.95688,0.97384,0.73946,1.0416,0.46469,1.21772,0.0010496,0.0010496,0.0010496
26,484.92,1.14639,0.63651,1.26161,0.96626,0.9368,0.96527,0.73497,1.04319,0.44892,1.21576,0.00101,0.00101,0.00101
27,503.35,1.13803,0.63101,1.26314,0.95695,0.94201,0.96769,0.73263,1.03863,0.45682,1.21967,0.0009704,0.0009704,0.0009704
28,521.766,1.13001,0.62626,1.25744,0.9616,0.94944,0.97092,0.74576,1.02703,0.43959,1.20625,0.0009308,0.0009308,0.0009308
29,540.203,1.12389,0.61573,1.25359,0.96821,0.95093,0.97269,0.74047,1.03117,0.45165,1.2122,0.0008912,0.0008912,0.0008912
30,558.526,1.12398,0.62051,1.25252,0.95431,0.96283,0.97599,0.73982,1.03669,0.44429,1.21046,0.0008516,0.0008516,0.0008516
31,576.85,1.11999,0.60425,1.24447,0.96394,0.9539,0.97313,0.74455,1.02699,0.44413,1.20676,0.000812,0.000812,0.000812
32,595.21,1.10654,0.59712,1.24421,0.97149,0.93755,0.9658,0.74435,1.01556,0.43428,1.19603,0.0007724,0.0007724,0.0007724
33,613.668,1.11073,0.60504,1.24004,0.96992,0.95911,0.97675,0.74518,1.02372,0.43425,1.19879,0.0007328,0.0007328,0.0007328
34,631.928,1.1,0.58969,1.2339,0.96896,0.95167,0.97254,0.74433,1.03342,0.42875,1.20684,0.0006932,0.0006932,0.0006932
35,650.203,1.10189,0.59333,1.2362,0.97191,0.95167,0.97261,0.74964,1.01641,0.41767,1.19292,0.0006536,0.0006536,0.0006536
36,668.495,1.10216,0.59635,1.23193,0.97112,0.95019,0.97255,0.74866,1.02878,0.42312,1.19682,0.000614,0.000614,0.000614
37,686.79,1.09034,0.5834,1.22952,0.96844,0.95836,0.97549,0.75104,1.01118,0.41738,1.18982,0.0005744,0.0005744,0.0005744
38,705.062,1.07801,0.58054,1.22465,0.97643,0.95465,0.97424,0.7535,1.01294,0.41917,1.18954,0.0005348,0.0005348,0.0005348
39,723.442,1.07892,0.57732,1.2179,0.97496,0.95539,0.9741,0.75173,1.01515,0.4157,1.19238,0.0004952,0.0004952,0.0004952
40,741.767,1.06369,0.56432,1.20984,0.97224,0.96357,0.97864,0.7535,1.0132,0.41113,1.19189,0.0004556,0.0004556,0.0004556
